Дата,Максимальная температура,Минимальная температура,Средняя температура,Скорость ветра,Эффективная температура
08.02.2019,0,-6,-2.1,3,-5.9
09.02.2019,2,-2.5,0.5,3,-3.1
10.02.2019,-1,-4.1,-2.2,3,-6.1
11.02.2019,-1,-4.3,-2.5,4,-7
12.02.2019,0.6,-1.6,-0.5,4,-4.8
13.02.2019,1,-5.4,-1.4,3,-5.2
14.02.2019,-1.9,-6,-4.3,3,-8.3
15.02.2019,3,-3.9,1.3,4,-2.8
16.02.2019,2.2,0,1.3,3,-2.2
17.02.2019,1.4,-2.2,0.4,5,-4.6
18.02.2019,-2.6,-12,-6.7,3,-11.2
19.02.2019,1,-12.5,-1.9,3,-5.8
20.02.2019,2.4,-1.2,0.9,3,-2.5
21.02.2019,0.5,-10,-5.8,5,-11.3
22.02.2019,-4,-11.2,-8.7,7,-15.9
23.02.2019,-5.9,-16.6,-9.7,3,-14.2
24.02.2019,1,-6.4,-1.2,2,-4.2
25.02.2019,2.2,0,1.2,3,-2.2
26.02.2019,1.4,-5.6,-0.4,4,-4.8
27.02.2019,-3,-11.7,-6.6,2,-10.3
28.02.2019,1.2,-5.8,-0.6,1,-2.9
01.03.2019,-3.2,-15.9,-8.7,4,-13.9
02.03.2019,-5.8,-23.3,-12.4,2,-16.5
03.03.2019,-3.5,-10.6,-5.5,3,-9.7
04.03.2019,-5.9,-15.2,-9.7,1,-13
05.03.2019,3,-16.2,-0.6,3,-4.1
06.03.2019,-5.6,-11.1,-8.1,3,-12.7
07.03.2019,-2,-13.2,-6.2,3,-10.6
08.03.2019,1.1,-4,-0.8,4,-5.1
09.03.2019,4,-1,1.6,6,-3.9
10.03.2019,4.1,-4.4,0.6,3,-3
11.03.2019,1.2,-2,0.1,3,-3.4
12.03.2019,-2,-12.6,-5.2,3,-9.4
13.03.2019,-2,-18.7,-10.8,1,-14.2
14.03.2019,-1,-19.4,-7.9,2,-11.8
15.03.2019,3,-8.3,0.1,4,-4.3
16.03.2019,-1,-2.2,-1.6,4,-6.1
17.03.2019,2,-2.1,-0.2,3,-3.9
18.03.2019,5,-4.7,2.3,6,-3.1
19.03.2019,3.3,0,1.2,2,-1.5
20.03.2019,4,0,1.5,2,-1.2
21.03.2019,2,-1,0.7,3,-2.8
22.03.2019,2,-0.3,0.6,3,-2.8
23.03.2019,3,0.3,1.5,2,-1.3
24.03.2019,3.1,0,1.2,3,-2.2
25.03.2019,4.5,-3,0.3,2,-2.8
26.03.2019,4.1,-7.4,-0.3,1,-2.7
27.03.2019,1,-4,-1.1,2,-4.2
28.03.2019,3.1,-4,-0.6,2,-4
29.03.2019,4,-7.1,0.4,3,-3.1
30.03.2019,8.2,0.8,4.3,3,1.1
31.03.2019,7,-0.8,3.2,3,0
01.04.2019,3.1,-3,-0.1,2,-3.1
02.04.2019,6,-5.7,0.4,2,-2.7
03.04.2019,8.6,-7.2,1.4,1,-1.1
04.04.2019,9,-8,1.5,1,-1
05.04.2019,11.9,-7,3.1,1,0.6
06.04.2019,12.9,-6,4.6,2,1.5
07.04.2019,9.3,-4.4,3,1,0.8
08.04.2019,8.2,-4,3.9,3,0.6
09.04.2019,11,1.9,5.9,1,4.3
10.04.2019,2.4,-1,1.1,1,-0.9
11.04.2019,5,-4.3,1.2,3,-2.4
12.04.2019,3.5,-3,-0.3,3,-4.2
13.04.2019,5.3,-2.9,1.9,3,-1.8
14.04.2019,6,-3.6,1.2,3,-2.8
15.04.2019,11,-5.1,4.3,2,1.3
16.04.2019,8.5,-0.6,3.7,3,0.2
17.04.2019,9.1,-4.3,3.4,1,1.1
18.04.2019,10,-2.7,3.9,2,1
19.04.2019,11.7,-4.3,5.8,3,2.3
20.04.2019,11.7,3,6.8,2,4.4
21.04.2019,14,-0.2,8.5,2,6.1
22.04.2019,17.1,-2.2,10.4,2,7.9
23.04.2019,17.5,4.9,12.2,3,9.4
24.04.2019,22,3.1,14.9,2,13
25.04.2019,20,3.1,13.8,3,11.1
26.04.2019,18.3,1,11.4,1,9.8
27.04.2019,19,-0.4,11.2,3,8.4
28.04.2019,7.9,-1.9,3.6,4,-0.9
29.04.2019,6.7,-5.1,2.1,2,-1.2
30.04.2019,11.4,-5,5.3,2,2.2
01.05.2019,15,-4,9.8,3,6.4
02.05.2019,14.1,5,9.6,4,5.9
03.05.2019,12,3.5,8.3,7,2.6
04.05.2019,11,-0.8,6,4,1.8
05.05.2019,13.6,-3.2,8.4,2,6.3
06.05.2019,13.2,6.4,11.3,2,10.2
07.05.2019,25,8,18.7,3,17
08.05.2019,15.5,4.7,8.4,3,5.9
09.05.2019,15,4.7,10.3,3,7.9
10.05.2019,28.4,8.3,19.4,2,18.9
11.05.2019,29,11.8,21.9,4,20.1
12.05.2019,21.7,7.9,16.2,2,14.9
13.05.2019,20,9.3,15.9,2,14.8
14.05.2019,23,8.3,18.1,3,16.3
15.05.2019,15.4,6.3,11.6,4,8.2
20.05.2019,18,-0.6,11.3,2,8.9
21.05.2019,13,4,10.7,2,9.5
22.05.2019,17,8.6,13.1,2,12.2
23.05.2019,13.4,3,8.2,3,5.6
24.05.2019,14,-0.5,8.9,3,5.8
25.05.2019,15,5.9,11.8,3,9.9
26.05.2019,17,6.3,13.7,3,11.7
27.05.2019,16.2,4.9,12.1,3,9.9
28.05.2019,22,6.8,16.4,2,15.7
29.05.2019,27.5,13.8,21.7,3,21.2
30.05.2019,19,7,14.6,2,14
31.05.2019,20.6,2.9,15.6,3,13.7
01.06.2019,18.3,6.9,14.6,3,12.2
02.06.2019,22.1,5.7,16.2,3,14.4
03.06.2019,18.5,5.7,13.3,3,10.9
04.06.2019,23,2.8,17.7,3,15.8
05.06.2019,27,9.6,21.5,2,21
06.06.2019,28.4,10.8,22.3,1,23.2
07.06.2019,30.1,13.6,24.4,2,24.9
08.06.2019,30.4,13.4,24.9,2,25.5
09.06.2019,31,14,24.9,2,25.6
10.06.2019,23.8,11.5,19.6,2,19
11.06.2019,24,9.2,18.4,3,16.6
12.06.2019,15.5,3.3,11.4,3,8.6
13.06.2019,18,0.5,12.6,2,10.7
14.06.2019,16,7,11.4,2,10.1
15.06.2019,16.6,3,12.3,2,11.1
16.06.2019,23.4,5.4,17.3,2,16.3
17.06.2019,25,9.6,19.2,2,18.6
18.06.2019,25.3,10.8,20,2,19.9
19.06.2019,27,11.6,22.1,3,21
20.06.2019,27,11.1,21.2,2,21
21.06.2019,30,11.2,24,3,23.5
22.06.2019,24.4,13,19.9,3,20
23.06.2019,23,10.8,18,2,16.8
24.06.2019,21,6.8,14.7,2,13.4
25.06.2019,18.8,8.3,14.3,3,12.4
26.06.2019,19,5.4,14.5,3,12.6
27.06.2019,20.3,3.7,15.6,3,13.7
28.06.2019,15,9.9,12.6,3,10.8
29.06.2019,12,10,10.7,4,8.1
30.06.2019,17.7,6.2,12.8,3,11.1
01.07.2019,18.2,3.4,14.1,2,13.2
02.07.2019,21.5,11.9,16.1,3,15.1
03.07.2019,18.4,7.5,15.1,3,13.8
04.07.2019,17.5,11.6,14.2,3,13
05.07.2019,20,8.9,15.4,3,13.5
06.07.2019,17.1,4,12.2,2,10.8
07.07.2019,19.5,2.8,13.3,1,12.6
08.07.2019,22,5.6,16.4,2,15.3
09.07.2019,23.5,9.7,17.2,2,16.6
10.07.2019,19.1,9.3,14.3,3,12.8
11.07.2019,12.4,5,9.4,3,6.9
12.07.2019,16.9,1.8,11.1,2,9.4
13.07.2019,17.1,2.2,11.3,2,9.9
14.07.2019,18,4.1,12.8,1,12.4
15.07.2019,18.1,7.9,13.8,1,13.4
16.07.2019,21,4.9,16,1,15.7
17.07.2019,22.1,12.8,16.4,3,15.7
18.07.2019,18,14.1,16.6,3,16.2
19.07.2019,20,12.5,17.1,3,16.2
20.07.2019,20.1,12.5,16.4,2,16.3
21.07.2019,21.2,9,16,2,15.4
22.07.2019,24,7,16.9,2,16.1
23.07.2019,25,7.2,18.8,2,18.2
24.07.2019,20,8.6,16.9,2,16.9
25.07.2019,25.9,16.4,20.5,3,20.7
26.07.2019,28,15,23.4,2,24.3
27.07.2019,28.8,17.9,23.9,3,24
28.07.2019,19.3,7.7,14.9,3,13.2
29.07.2019,15.1,5,9.9,3,7.4
30.07.2019,13,5.2,8.8,3,6.4
31.07.2019,14.7,5.7,10.6,3,8.5
01.08.2019,13,8.6,11.1,3,9.3
02.08.2019,17.6,9.9,13.8,3,11.9
03.08.2019,13.8,7.4,10.1,3,7.8
04.08.2019,10,6,8,3,5.6
05.08.2019,10.3,6,8.3,3,5.9
06.08.2019,13,8,10.7,3,8.7
07.08.2019,16,5.7,11.3,2,9.9
08.08.2019,17.1,4.3,14.1,3,12.7
09.08.2019,14.2,12,13.4,6,10.2
10.08.2019,18.1,8.9,14.2,4,11.8
11.08.2019,15.4,4,10.4,2,8.6
12.08.2019,18.1,0.3,11.8,2,10.2
13.08.2019,17.5,7.4,14.5,2,14
14.08.2019,21.4,12,16.6,2,16.5
15.08.2019,18.3,8,14,2,13.5
16.08.2019,21.1,4.8,13.7,2,12.7
17.08.2019,21.8,6,14.9,2,13.9
18.08.2019,18,9.1,14.8,4,13.2
19.08.2019,23,14.3,18.6,2,19.1
20.08.2019,24.6,11.5,18.5,2,19.1
21.08.2019,23,11.3,18.1,1,18.6
22.08.2019,19.3,11.4,15.7,3,14.8
23.08.2019,21,9.4,14.6,2,13.8
24.08.2019,18,8.5,14.1,3,12.9
25.08.2019,17.6,7.9,13.4,2,12.4
26.08.2019,19.2,6.1,15,3,13.7
27.08.2019,17,7.8,13.6,3,11.9
28.08.2019,17.4,5.5,11.6,2,9.9
29.08.2019,23.7,7.2,17.3,3,16.4
30.08.2019,16,11,13.8,2,13.3
31.08.2019,23.5,10.6,17,1,17.6
01.09.2019,20.6,11.7,16.7,1,17.4
02.09.2019,21.9,10.7,15.7,0,16.8
03.09.2019,25,11.5,17.7,2,17.6
04.09.2019,21.3,12,16.2,3,15.1
05.09.2019,20,8,13.7,1,13.4
06.09.2019,20.1,7.9,14.2,2,13.5
07.09.2019,20.4,6.9,13.9,1,13.4
08.09.2019,20,3.3,12.3,1,11.6
09.09.2019,21,4.5,14.4,1,14.1
10.09.2019,23,8.3,15.6,2,15
11.09.2019,24,8,17.3,2,17
12.09.2019,22.2,10.8,17,2,16.5
13.09.2019,18.5,12.5,15.7,3,14.2
14.09.2019,13.5,5.8,10.3,3,8.2
15.09.2019,12.2,3.7,8.6,3,6
16.09.2019,13.2,7.3,9.7,3,7.6
17.09.2019,10.6,6.8,8.3,3,6
18.09.2019,12.3,5.6,7.8,2,6.1
19.09.2019,9.5,-1,5,2,2.5
20.09.2019,10,-2.1,3.4,2,0.8
21.09.2019,9,-2,3.3,2,0.7
22.09.2019,6.5,2,3.6,3,0.5
23.09.2019,7.3,1,4.1,3,1
24.09.2019,8,0.5,4.2,3,1
25.09.2019,7.2,1.5,3.7,1,1.7
26.09.2019,6.4,-1.6,4.5,3,1.4
27.09.2019,9,1,5.1,1,3.4
28.09.2019,8.7,0.7,4.4,1,2.6
29.09.2019,9.2,0.5,6.7,3,4
30.09.2019,11,7.4,10.1,3,8.3
01.10.2019,13.3,5.4,10.4,4,7.9
02.10.2019,10.3,3.6,6.4,3,3.8
03.10.2019,7.3,1.8,5.3,2,3.3
04.10.2019,11,2,5.7,3,3
05.10.2019,5,-1.4,1.7,3,-1.7
06.10.2019,3.1,-3.1,0.8,2,-2
07.10.2019,2,0,0.9,3,-2.5
08.10.2019,2.2,0,0.8,4,-3.2
09.10.2019,5.1,0.1,3.3,3,0.2
10.10.2019,5.1,2.4,4,3,1
11.10.2019,8,3.8,6.1,1,4.9
12.10.2019,10,6,8.2,4,5.3
13.10.2019,10.4,6,8.3,4,5
14.10.2019,8.2,2,5.2,3,2.2
15.10.2019,4,-0.3,2.2,2,-0.6
16.10.2019,2.6,-1.6,0.9,2,-1.8
17.10.2019,5,1.6,3.8,3,0.9
18.10.2019,3,2,2.7,3,-0.4
19.10.2019,11,2.5,7.6,3,5.3
20.10.2019,13.5,3,8.8,2,7.2
21.10.2019,11.3,2.4,8.2,3,5.9
22.10.2019,7.6,1,4.1,3,1.1
23.10.2019,13,2,9.1,3,6.6
24.10.2019,8.5,0.7,6.5,2,4.6
25.10.2019,10,4.5,7.7,3,5.1
26.10.2019,12,4.9,9.6,6,5.2
27.10.2019,11,4,6.5,4,3.1
28.10.2019,4.1,-5.2,-2.1,3,-5.9
29.10.2019,-0.6,-8.1,-3.7,2,-7
30.10.2019,-2.7,-5,-3.9,3,-7.9
31.10.2019,-4,-7,-5.2,2,-8.7
01.11.2019,1,-6.9,-0.8,3,-4.4
02.11.2019,-1,-4.3,-2.6,2,-5.9
03.11.2019,3,-4.8,1.4,5,-3.2
04.11.2019,4.3,0,2.4,2,-0.1
05.11.2019,1,0,0.4,3,-3
06.11.2019,0.4,-3.6,-1.4,3,-5.1
07.11.2019,-6,-8.6,-7.4,3,-11.7
08.11.2019,-2.8,-9,-6.3,3,-10.5
09.11.2019,2,-5.5,0.7,3,-2.6
10.11.2019,5.1,0.5,3.4,3,0.4
11.11.2019,7.3,4.1,6.3,4,3.1
12.11.2019,6,-1,2.6,3,-0.5
13.11.2019,3,-0.6,1.1,3,-2.3
14.11.2019,5.3,1.6,3.2,3,0
15.11.2019,2,-0.5,0.9,2,-1.8
16.11.2019,1.4,0,0.9,3,-2.4
17.11.2019,4.4,0.9,2.8,1,1.1
18.11.2019,6.1,3,5,1,3.6
19.11.2019,4.3,2,3.3,3,0.3
20.11.2019,2.1,-2.6,-0.4,3,-4
21.11.2019,-1.9,-8,-4.4,3,-8.5
22.11.2019,-5,-12,-8.6,2,-12.4
23.11.2019,-5.8,-13.1,-9.9,1,-13.1
24.11.2019,-4.7,-11,-6.4,1,-9.4
25.11.2019,-4,-11.1,-8.3,1,-11.4
26.11.2019,-4,-10.1,-5.6,3,-9.8
27.11.2019,-1.4,-5,-2.9,3,-6.8
28.11.2019,0,-2.1,-0.6,3,-4.2
29.11.2019,2,-2,0.2,5,-4.6
30.11.2019,2,-2.4,0.6,3,-2.8
01.12.2019,-2,-5,-3.6,3,-7.7
02.12.2019,-1,-3.8,-1.8,4,-6.3
03.12.2019,-1.9,-3,-2.8,4,-7.4
04.12.2019,0,-3.9,-1.8,3,-5.5
05.12.2019,4,-1.6,2,4,-1.8
06.12.2019,4,0,2.3,4,-1.6
07.12.2019,2.5,0.3,1.6,3,-1.6
08.12.2019,3,0,1.2,6,-4.2
09.12.2019,5,0,3,5,-1.4
10.12.2019,5,2,3.8,3,0.7
11.12.2019,-0.8,-6.2,-4.4,1,-7.1
12.12.2019,0.5,-6.7,-1.3,4,-5.6
13.12.2019,1.3,-0.7,0.8,3,-2.7
14.12.2019,0,-1,-0.8,3,-4.4
15.12.2019,0,-2,-1.2,4,-5.5
16.12.2019,1,-1.6,0.6,4,-3.4
17.12.2019,2,0,0.7,3,-2.7
18.12.2019,5,0,1.3,3,-2
19.12.2019,4,-3,-0.1,5,-5.1
20.12.2019,0,-2.4,-0.8,2,-3.8
21.12.2019,1,-1.8,0.1,3,-3.5
22.12.2019,1.1,0,0.7,3,-2.7
23.12.2019,3,0.7,2.1,2,-0.4
24.12.2019,4.3,1.8,3.2,0,2.2
25.12.2019,3.4,-0.2,0.6,3,-2.7
26.12.2019,0,-0.3,0,2,-2.8
27.12.2019,0.2,-4,-0.6,2,-3.5
28.12.2019,-3.8,-9.4,-5.9,4,-10.8
29.12.2019,-7,-16.4,-11.9,1,-15.3
30.12.2019,0.1,-10.1,-3.1,4,-7.6
31.12.2019,1.5,-1.6,0.7,2,-2
,,,,,
